dwc:catalogNumber,dwc:genus,species,Day,Month,Year,Day of the year
90115109,taxithelium,taxithelium planum,20,7,1977,201
6195,taxithelium,taxithelium planum,19,2,2016,50
100545235,taxithelium,taxithelium planum,30,10,2011,303
,taxithelium,taxithelium planum,18,11,1986,322
90178752,taxithelium,taxithelium planum,19,12,1992,354
100475770,taxithelium,taxithelium planum,26,1,1978,26
90122398,taxithelium,taxithelium planum,18,12,1990,352
90146207,taxithelium,taxithelium planum,16,4,1981,106
100564220,taxithelium,taxithelium planum,16,10,2012,290
20984,taxithelium,taxithelium planum,26,2,1985,57
39704,taxithelium,taxithelium planum,30,12,2002,364
100565453,taxithelium,taxithelium planum,15,10,2012,289
90122352,taxithelium,taxithelium planum,20,6,1979,171
90152458,taxithelium,taxithelium planum,17,1,1984,17
100664043,taxithelium,taxithelium planum,13,10,2012,287
100565466,taxithelium,taxithelium planum,16,10,2012,290
90079426,taxithelium,taxithelium planum,18,5,1996,139
90189492,taxithelium,taxithelium planum,20,6,2003,171
90210867,taxithelium,taxithelium planum,20,5,1996,141
70437,taxithelium,taxithelium planum,15,2,2006,46
6425,taxithelium,taxithelium planum,15,3,2010,74
90115108,taxithelium,taxithelium planum,16,3,1997,75
90079921,taxithelium,taxithelium planum,27,3,1953,86
90115092,taxithelium,taxithelium planum,29,6,1982,180
18527,taxithelium,taxithelium planum,18,12,1991,352
20669,taxithelium,taxithelium planum,26,3,1985,85
39707,taxithelium,taxithelium planum,30,12,2002,364
73046,taxithelium,taxithelium planum,23,3,2010,82
10629,taxithelium,taxithelium planum,17,7,1992,199
13916,taxithelium,taxithelium planum,13,12,1991,347
27017,taxithelium,taxithelium planum,25,4,2003,115
70310,taxithelium,taxithelium planum,14,2,2006,45
70542,taxithelium,taxithelium planum,15,2,2006,46
150237,taxithelium,taxithelium planum,29,6,1979,180
19853,taxithelium,taxithelium planum,26,3,1985,85
32926,taxithelium,taxithelium planum,17,10,2000,291
86249,taxithelium,taxithelium planum,23,4,2010,113
86429d,taxithelium,taxithelium planum,24,10,2014,297
90146210,taxithelium,taxithelium planum,15,4,1981,105
90144412,taxithelium,taxithelium planum,14,4,1982,104
90059840,taxithelium,taxithelium planum,23,6,1997,174
90049040,taxithelium,taxithelium planum,26,2,1997,57
100565470,taxithelium,taxithelium planum,18,10,2012,292
18646,taxithelium,taxithelium planum,20,9,1992,264
90097052,taxithelium,taxithelium planum,17,7,1979,198
90097061,taxithelium,taxithelium planum,31,1,1984,31
90115192,taxithelium,taxithelium planum,22,4,1924,113
26684,taxithelium,taxithelium planum,20,9,2000,264
90057236,taxithelium,taxithelium planum,30,7,1986,211
122828,taxithelium,taxithelium planum,24,5,1974,144
90098579,taxithelium,taxithelium planum,23,3,1969,82
100663899,taxithelium,taxithelium planum,19,10,2012,293
90115091,taxithelium,taxithelium planum,22,4,1982,112
90080888,taxithelium,taxithelium planum,18,12,1990,352
70534,taxithelium,taxithelium planum,15,2,2006,46
72432,taxithelium,taxithelium planum,16,2,2006,47
90031766,taxithelium,taxithelium planum,30,5,1973,150
18269,taxithelium,taxithelium planum,18,5,1991,138
18547,taxithelium,taxithelium planum,23,2,1992,54
44985,taxithelium,taxithelium planum,31,3,2000,91
72071,taxithelium,taxithelium planum,15,2,2006,46
54166/b,taxithelium,taxithelium planum,17,6,2009,168
bm000973116,taxithelium,taxithelium planum,27,1,1996,27
131052,taxithelium,taxithelium planum,21,3,2018,80
70425,taxithelium,taxithelium planum,15,2,2006,46
8533,taxithelium,taxithelium planum,30,5,2009,150
4740,taxithelium,taxithelium planum,24,5,2004,145
bm001147971,taxithelium,taxithelium planum,20,2,2004,51
70285,taxithelium,taxithelium planum,14,2,2006,45
72433,taxithelium,taxithelium planum,15,2,2006,46
8531,taxithelium,taxithelium planum,30,5,2009,150
8552,taxithelium,taxithelium planum,22,11,2010,326
124363,taxithelium,taxithelium planum,29,9,2017,272
54113/a,taxithelium,taxithelium planum,17,6,2009,168
89952,taxithelium,taxithelium planum,13,7,1969,194
90241,taxithelium,taxithelium planum,18,1,1972,18
2696,taxithelium,taxithelium planum,24,11,2010,328
25155,taxithelium,taxithelium planum,24,10,1992,298
26671,taxithelium,taxithelium planum,15,11,2000,320
96985,taxithelium,taxithelium planum,19,1,2011,19
109306,taxithelium,taxithelium planum,28,1,2011,28
124279,taxithelium,taxithelium planum,29,9,2017,272
138038,taxithelium,taxithelium planum,14,2,2019,45
100663924,taxithelium,taxithelium planum,19,10,2012,293
90084633,taxithelium,taxithelium planum,24,3,1978,83
90080084,taxithelium,taxithelium planum,25,11,1931,329
90142904,taxithelium,taxithelium planum,16,5,1975,136
90170654,taxithelium,taxithelium planum,17,7,1961,198
90170737,taxithelium,taxithelium planum,20,2,1981,51
70333,taxithelium,taxithelium planum,15,2,2006,46
8539,taxithelium,taxithelium planum,29,9,2010,272
8189,taxithelium,taxithelium planum,26,5,2013,146
4763,taxithelium,taxithelium planum,24,5,2004,145
100475764,taxithelium,taxithelium planum,15,3,1978,74
2248735,taxithelium,taxithelium planum,21,1,1964,21
18550,taxithelium,taxithelium planum,23,2,1992,54
90115153,taxithelium,taxithelium planum,20,7,1974,201
125506,taxithelium,taxithelium planum,27,7,1974,208
7690,taxithelium,taxithelium planum,16,10,2000,290
71760,taxithelium,taxithelium planum,15,2,2006,46
8540,taxithelium,taxithelium planum,16,6,2010,167
16576,taxithelium,taxithelium planum,19,12,1992,354
2070875,taxithelium,taxithelium planum,21,1,1974,21
135836,taxithelium,taxithelium planum,18,3,1977,77
70530,taxithelium,taxithelium planum,15,2,2006,46
71774,taxithelium,taxithelium planum,16,2,2006,47
109327,taxithelium,taxithelium planum,15,6,2011,166
109358,taxithelium,taxithelium planum,15,6,2011,166
51586,taxithelium,taxithelium planum,16,7,1991,197
130445,taxithelium,taxithelium planum,29,9,2017,272
191527,taxithelium,taxithelium planum,28,10,1980,302
70531,taxithelium,taxithelium planum,16,2,2006,47
72063,taxithelium,taxithelium planum,15,2,2006,46
2695,taxithelium,taxithelium planum,24,11,2010,328
70279,taxithelium,taxithelium planum,14,2,2006,45
70304,taxithelium,taxithelium planum,14,2,2006,45
70545,taxithelium,taxithelium planum,15,2,2006,46
bm001147970,taxithelium,taxithelium planum,20,2,2004,51
150245,taxithelium,taxithelium planum,29,6,1979,180
71766,taxithelium,taxithelium planum,16,2,2006,47
72278,taxithelium,taxithelium planum,21,2,2006,52
70552,taxithelium,taxithelium planum,16,2,2006,47
109314,taxithelium,taxithelium planum,28,1,2011,28
72294,taxithelium,taxithelium planum,21,2,2006,52
8541,taxithelium,taxithelium planum,29,9,2010,272
4759,taxithelium,taxithelium planum,24,5,2004,145
72058,taxithelium,taxithelium planum,15,2,2006,46
150242,taxithelium,taxithelium planum,29,6,1979,180
170702,taxithelium,taxithelium planum,28,10,1980,302
26685,taxithelium,taxithelium planum,19,9,2000,263
222410,taxithelium,taxithelium planum,17,6,1985,168
109309,taxithelium,taxithelium planum,28,1,2011,28
6221,taxithelium,taxithelium planum,19,2,2016,50
54080/b,taxithelium,taxithelium planum,17,6,2009,168
131190,taxithelium,taxithelium planum,21,3,2018,80
8527,taxithelium,taxithelium planum,22,6,2011,173
124342,taxithelium,taxithelium planum,29,9,2017,272
124382,taxithelium,taxithelium planum,29,9,2017,272
18266,taxithelium,taxithelium planum,18,5,1991,138
18333,taxithelium,taxithelium planum,19,5,1991,139
8534,taxithelium,taxithelium planum,30,5,2009,150
8536,taxithelium,taxithelium planum,14,11,2005,318
6225,taxithelium,taxithelium planum,16,2,1992,47
70307,taxithelium,taxithelium planum,14,2,2006,45
70374,taxithelium,taxithelium planum,15,2,2006,46
70420,taxithelium,taxithelium planum,15,2,2006,46
8550,taxithelium,taxithelium planum,16,6,2010,167
154380,taxithelium,taxithelium planum,28,9,1975,271
149843,taxithelium,taxithelium planum,24,3,1981,83
131211,taxithelium,taxithelium planum,21,3,2018,80
71762,taxithelium,taxithelium planum,15,2,2006,46
90170722,taxithelium,taxithelium planum,20,12,1927,354
90007257,taxithelium,taxithelium planum,25,8,1992,238
90003301,taxithelium,taxithelium planum,22,8,1992,235
100226698,taxithelium,taxithelium planum,26,8,2009,238
90039231,taxithelium,taxithelium planum,17,10,1994,290
42396,taxithelium,taxithelium planum,18,12,2019,352
130690,taxithelium,taxithelium planum,29,9,2017,272
90115083,taxithelium,taxithelium planum,30,4,1990,120
90115132,taxithelium,taxithelium planum,30,12,1934,364
90076189,taxithelium,taxithelium planum,26,3,1968,86
20609,taxithelium,taxithelium planum,22,4,1985,112
56219c,taxithelium,taxithelium planum,19,7,2008,201
86455b,taxithelium,taxithelium planum,24,10,2014,297
100388802,taxithelium,taxithelium planum,25,8,2009,237
90144303,taxithelium,taxithelium planum,21,5,1975,141
124272,taxithelium,taxithelium planum,29,9,2017,272
130887,taxithelium,taxithelium planum,28,5,2011,148
bm001147975,taxithelium,taxithelium planum,19,2,2000,50
100240262,taxithelium,taxithelium planum,14,12,2009,348
90115112,taxithelium,taxithelium planum,13,7,1972,195
100565184,taxithelium,taxithelium planum,14,10,2012,288
154368,taxithelium,taxithelium planum,21,5,1981,141
112738,taxithelium,taxithelium planum,22,4,2006,112
90079908,taxithelium,taxithelium planum,25,2,1967,56
90059002,taxithelium,taxithelium planum,14,6,1997,165
90012694,taxithelium,taxithelium planum,24,8,1992,237
154372,taxithelium,taxithelium planum,27,7,1976,209
90097050,taxithelium,taxithelium planum,16,8,1979,228
bm000973115,taxithelium,taxithelium planum,22,1,1996,22
26675,taxithelium,taxithelium planum,17,9,2000,261
90152457,taxithelium,taxithelium planum,17,1,1984,17
89949,taxithelium,taxithelium planum,13,7,1969,194
4748,taxithelium,taxithelium planum,24,5,2004,145
172190,taxithelium,taxithelium planum,31,10,1982,304
72245,taxithelium,taxithelium planum,16,2,2006,47
8545,taxithelium,taxithelium planum,30,11,2010,334
100565156,taxithelium,taxithelium planum,13,10,2012,287
18169,taxithelium,taxithelium planum,26,6,1985,177
19037,taxithelium,taxithelium planum,26,3,1985,85
72237,taxithelium,taxithelium planum,16,2,2006,47
90097049,taxithelium,taxithelium planum,16,8,1979,228
227530,taxithelium,taxithelium planum,22,4,1989,112
50914,taxithelium,taxithelium planum,30,10,2003,303
109312,taxithelium,taxithelium planum,28,1,2011,28
90146218,taxithelium,taxithelium planum,23,6,1965,174
145886,taxithelium,taxithelium planum,27,10,2010,300
90097037,taxithelium,taxithelium planum,29,8,1979,241
90080817,taxithelium,taxithelium planum,13,3,1990,72
10608,taxithelium,taxithelium planum,17,8,1992,230
19065,taxithelium,taxithelium planum,16,7,1985,197
90079913,taxithelium,taxithelium planum,25,4,1974,115
90170728,taxithelium,taxithelium planum,29,3,1981,88
90097060,taxithelium,taxithelium planum,16,5,1982,136
90115105,taxithelium,taxithelium planum,19,12,1934,353
100809183,taxithelium,taxithelium planum,26,1,1995,26
135410,taxithelium,taxithelium planum,25,8,1976,238
100394749,taxithelium,taxithelium planum,29,8,2009,241
70427,taxithelium,taxithelium planum,15,2,2006,46
70432,taxithelium,taxithelium planum,15,2,2006,46
70438,taxithelium,taxithelium planum,15,2,2006,46
100475766,taxithelium,taxithelium planum,15,3,1978,74
111462,taxithelium,taxithelium planum,18,12,2009,352
100560354,taxithelium,taxithelium planum,21,9,2012,265
90083625,taxithelium,taxithelium planum,22,7,1985,203
90079412,taxithelium,taxithelium planum,28,7,1973,209
90079427,taxithelium,taxithelium planum,18,5,1996,139
100560355,taxithelium,taxithelium planum,22,9,2012,266
90211302,taxithelium,taxithelium planum,28,11,2005,332
155486,taxithelium,taxithelium planum,17,5,2011,137
90220444,taxithelium,taxithelium planum,15,11,1999,319
90210574,taxithelium,taxithelium planum,28,5,1997,148
39709b,taxithelium,taxithelium planum,30,7,2002,211
72269,taxithelium,taxithelium planum,17,10,2009,290
86418c,taxithelium,taxithelium planum,24,1,2015,24
8672,taxithelium,taxithelium planum,17,7,1992,199
10600,taxithelium,taxithelium planum,24,8,1992,237
18826c,taxithelium,taxithelium planum,28,2,1985,59
100809141,taxithelium,taxithelium planum,30,11,1975,334
100579098,taxithelium,taxithelium planum,21,9,2012,265
100565448,taxithelium,taxithelium planum,14,10,2012,288
100561688,taxithelium,taxithelium planum,17,10,2012,291
90035658,taxithelium,taxithelium planum,27,3,1951,86
100560818,taxithelium,taxithelium planum,21,9,2012,265
90097063,taxithelium,taxithelium planum,21,11,1977,325
90113043,taxithelium,taxithelium planum,19,4,1966,109
90078753,taxithelium,taxithelium planum,25,10,1992,299
90079411,taxithelium,taxithelium planum,28,7,1973,209
90115146,taxithelium,taxithelium planum,29,7,1981,210
90115150,taxithelium,taxithelium planum,28,3,1981,87
5287,taxithelium,taxithelium planum,24,1,2015,24
tenn/b/0053256,taxithelium,taxithelium planum,18,10,1929,291
162226,taxithelium,taxithelium planum,17,6,2011,168
111696,taxithelium,taxithelium planum,27,5,2006,147
196080,taxithelium,taxithelium planum,13,9,2013,256
201380,taxithelium,taxithelium planum,27,8,2009,239
201395,taxithelium,taxithelium planum,16,10,2012,290
100394776,taxithelium,taxithelium planum,27,8,2009,239
90115095,taxithelium,taxithelium planum,20,1,1980,20
90097051,taxithelium,taxithelium planum,21,7,1979,202
90056656,taxithelium,taxithelium planum,17,12,1990,351
191968,taxithelium,taxithelium planum,22,8,2012,235
90146227,taxithelium,taxithelium planum,21,5,1975,141
162332,taxithelium,taxithelium planum,17,6,2011,168
90242201,taxithelium,taxithelium planum,20,9,2000,264
90208775,taxithelium,taxithelium planum,26,4,2000,117
154377,taxithelium,taxithelium planum,28,9,1975,271
191986,taxithelium,taxithelium planum,22,8,2012,235
154378,taxithelium,taxithelium planum,26,9,1975,269
,taxithelium,taxithelium planum,31,7,1965,212
,taxithelium,taxithelium planum,27,1,1987,27
,taxithelium,taxithelium planum,24,3,1996,84
8437,taxithelium,taxithelium planum,22,4,1992,113
18171,taxithelium,taxithelium planum,26,3,1985,85
19019,taxithelium,taxithelium planum,22,4,1985,112
1878c,taxithelium,taxithelium planum,21,5,1985,141
122826,taxithelium,taxithelium planum,23,5,1974,143
26982,taxithelium,taxithelium planum,15,11,2003,319
191489,taxithelium,taxithelium planum,20,6,2009,171
70527,taxithelium,taxithelium planum,15,2,2006,46
,taxithelium,taxithelium planum,29,4,1997,119
109242,taxithelium,taxithelium planum,21,1,2011,21
111474,taxithelium,taxithelium planum,17,12,2009,351
131201,taxithelium,taxithelium planum,21,3,2018,80
18549,taxithelium,taxithelium planum,23,2,1992,54
17497,taxithelium,taxithelium planum,29,5,1971,149
173050,taxithelium,taxithelium planum,30,11,2011,334
87842,taxithelium,taxithelium planum,24,5,1929,144
,taxithelium,taxithelium planum,28,7,1987,209
,taxithelium,taxithelium planum,13,6,1994,164
154379,taxithelium,taxithelium planum,30,10,1975,303
191951,taxithelium,taxithelium planum,22,8,2012,235
100545253,taxithelium,taxithelium planum,30,10,2011,303
13919,taxithelium,taxithelium planum,13,12,1991,347
,taxithelium,taxithelium planum,28,1,1952,28
196380,taxithelium,taxithelium planum,14,9,2013,257
113883,taxithelium,taxithelium planum,27,5,2009,147
21674,taxithelium,taxithelium planum,16,7,1985,197
48934b,taxithelium,taxithelium planum,13,9,2006,256
50976d,taxithelium,taxithelium planum,30,10,2003,303
237117,taxithelium,taxithelium planum,24,3,2016,84
10548b,taxithelium,taxithelium planum,24,8,1992,237
18170,taxithelium,taxithelium planum,28,2,1985,59
19919,taxithelium,taxithelium planum,26,2,1985,57
86539b,taxithelium,taxithelium planum,24,12,2014,358
86579c,taxithelium,taxithelium planum,24,10,2014,297
41646,taxithelium,taxithelium planum,26,8,2009,238
47420,taxithelium,taxithelium planum,17,11,1987,321
,taxithelium,taxithelium planum,18,10,1985,291
,taxithelium,taxithelium planum,26,1,1987,26
191989,taxithelium,taxithelium planum,22,8,2012,235
84653a,taxithelium,taxithelium planum,19,9,2014,262
41652,taxithelium,taxithelium planum,18,10,2012,292
113439,taxithelium,taxithelium planum,30,5,1984,151
colo/b/0058399,taxithelium,taxithelium planum,18,7,1961,199
,taxithelium,taxithelium planum,27,1,1987,27
109341,taxithelium,taxithelium planum,15,6,2011,166
8539,taxithelium,taxithelium planum,18,5,1990,138
8606,taxithelium,taxithelium planum,20,5,1990,140
10547c,taxithelium,taxithelium planum,24,7,1992,206
13904b,taxithelium,taxithelium planum,13,12,1991,347
,taxithelium,taxithelium planum,24,2,1996,55
19064,taxithelium,taxithelium planum,16,7,1985,197
20769,taxithelium,taxithelium planum,26,2,1985,57
21691,taxithelium,taxithelium planum,22,4,1985,112
124207,taxithelium,taxithelium planum,29,9,2017,272
84793a,taxithelium,taxithelium planum,24,11,2015,328
19955,taxithelium,taxithelium planum,25,3,1985,84
19981,taxithelium,taxithelium planum,26,2,1985,57
21658d,taxithelium,taxithelium planum,26,3,1985,85
50915,taxithelium,taxithelium planum,30,10,2003,303
17867,taxithelium,taxithelium planum,26,2,1985,57
tenn/b/0053267,taxithelium,taxithelium planum,18,7,1931,199
msc/b/0010158,taxithelium,taxithelium planum,18,7,1928,200
25027,taxithelium,taxithelium planum,28,2,1985,59
86545,taxithelium,taxithelium planum,24,12,2014,358
,taxithelium,taxithelium planum,27,1,1987,27
50468,taxithelium,taxithelium planum,13,8,1972,226
130533,taxithelium,taxithelium planum,29,9,2017,272
86410b,taxithelium,taxithelium planum,24,10,2014,297
,taxithelium,taxithelium planum,18,11,1986,322
,taxithelium,taxithelium planum,15,9,1997,258
22871,taxithelium,taxithelium planum,26,2,1985,57
72154,taxithelium,taxithelium planum,23,3,2010,82
10549,taxithelium,taxithelium planum,24,8,1992,237
20648,taxithelium,taxithelium planum,20,5,1985,140
32909,taxithelium,taxithelium planum,17,10,2000,291
39403,taxithelium,taxithelium planum,16,7,1985,197
7537,taxithelium,taxithelium planum,16,10,2000,290
100545240,taxithelium,taxithelium planum,30,10,2011,303
21634,taxithelium,taxithelium planum,26,2,1985,57
48580b,taxithelium,taxithelium planum,31,8,2006,243
86420d,taxithelium,taxithelium planum,24,1,2015,24
18953d,taxithelium,taxithelium planum,26,3,1985,85
48558,taxithelium,taxithelium planum,13,3,2006,72
72144,taxithelium,taxithelium planum,23,3,2010,82
,taxithelium,taxithelium planum,18,2,1996,49
,taxithelium,taxithelium planum,18,11,1986,322
21457b,taxithelium,taxithelium planum,16,7,1985,197
19761,taxithelium,taxithelium planum,19,1,1998,19
124246,taxithelium,taxithelium planum,29,9,2017,272
18293,taxithelium,taxithelium planum,30,1,1995,30
18964c,taxithelium,taxithelium planum,26,2,1985,57
10604,taxithelium,taxithelium planum,24,8,1992,237
13901b,taxithelium,taxithelium planum,13,12,1991,347
20240,taxithelium,taxithelium planum,18,7,1985,199
20449,taxithelium,taxithelium planum,26,2,1985,57
21677,taxithelium,taxithelium planum,22,4,1985,112
86412,taxithelium,taxithelium planum,24,10,2014,297
143448,taxithelium,taxithelium planum,23,11,2010,327
,taxithelium,taxithelium planum,25,1,1987,25
86417b,taxithelium,taxithelium planum,24,12,2014,358
86546a,taxithelium,taxithelium planum,24,12,2014,358
191361,taxithelium,taxithelium planum,20,6,2009,171
191490,taxithelium,taxithelium planum,20,6,2009,171
39710b,taxithelium,taxithelium planum,30,12,2002,364
191496,taxithelium,taxithelium planum,23,2,2011,54
90087927,taxithelium,taxithelium planum,25,3,1979,84
18156,taxithelium,taxithelium planum,26,3,1985,85
18530,taxithelium,taxithelium planum,18,12,1991,352
,taxithelium,taxithelium planum,20,11,1986,324
18155,taxithelium,taxithelium planum,26,2,1985,57
191495,taxithelium,taxithelium planum,23,2,2011,54
18296,taxithelium,taxithelium planum,30,1,1995,30
20374,taxithelium,taxithelium planum,28,2,1985,59
10595,taxithelium,taxithelium planum,24,8,1992,237
22083,taxithelium,taxithelium planum,19,6,1985,170
50911d,taxithelium,taxithelium planum,30,10,2003,303
cinc/b/0027306,taxithelium,taxithelium planum,19,2,1909,50
,taxithelium,taxithelium planum,23,5,1997,143
13893b,taxithelium,taxithelium planum,13,12,1991,347
41316,taxithelium,taxithelium planum,22,5,2010,142
18725,taxithelium,taxithelium planum,15,8,1985,227
20627d,taxithelium,taxithelium planum,25,2,1985,56
86456a,taxithelium,taxithelium planum,24,10,2014,297
20882,taxithelium,taxithelium planum,16,7,1985,197
132165,taxithelium,taxithelium planum,16,2,2006,47
86524c,taxithelium,taxithelium planum,24,3,2015,83
ncu/b/0001998,taxithelium,taxithelium planum,18,2,1909,49
18529,taxithelium,taxithelium planum,18,12,1991,352
20515,taxithelium,taxithelium planum,25,3,1985,84
21658 d,taxithelium,taxithelium planum,26,3,1985,85
22137,taxithelium,taxithelium planum,18,7,1985,199
20656,taxithelium,taxithelium planum,26,3,1985,85
48533,taxithelium,taxithelium planum,13,3,2006,72
52944b,taxithelium,taxithelium planum,28,8,2004,241
124215,taxithelium,taxithelium planum,29,9,2017,272
191493,taxithelium,taxithelium planum,24,8,2009,236
18084,taxithelium,taxithelium planum,26,3,1985,85
18229,taxithelium,taxithelium planum,30,1,1995,30
18286,taxithelium,taxithelium planum,27,6,1995,178
20124b,taxithelium,taxithelium planum,25,2,1985,56
20566,taxithelium,taxithelium planum,16,7,1985,197
20655,taxithelium,taxithelium planum,26,3,1985,85
22745,taxithelium,taxithelium planum,28,2,1985,59
48585,taxithelium,taxithelium planum,31,8,2006,243
86425a,taxithelium,taxithelium planum,24,10,2014,297
191491,taxithelium,taxithelium planum,20,6,2009,171
10521,taxithelium,taxithelium planum,24,8,1992,237
20716,taxithelium,taxithelium planum,20,5,1985,140
86198,taxithelium,taxithelium planum,23,4,2010,113
86475,taxithelium,taxithelium planum,24,10,2014,297
191492,taxithelium,taxithelium planum,23,2,2011,54
191908,taxithelium,taxithelium planum,20,6,2009,171
7576,taxithelium,taxithelium planum,16,10,2000,290
cinc/b/0027303,taxithelium,taxithelium planum,19,2,1915,50
10524b,taxithelium,taxithelium planum,24,7,1992,206
50541,taxithelium,taxithelium planum,22,9,2012,266
46979,taxithelium,taxithelium planum,13,7,1969,194
20913,taxithelium,taxithelium planum,16,7,1985,197
71782,taxithelium,taxithelium planum,14,2,2006,45
,taxithelium,taxithelium planum,16,10,1985,289
,taxithelium,taxithelium planum,18,11,1986,322
,taxithelium,taxithelium planum,28,11,1926,332
bm001153200,taxithelium,taxithelium planum,5,3,2011,64
bm001153201,taxithelium,taxithelium planum,5,3,2011,64
bm001153250,taxithelium,taxithelium planum,12,5,2010,132
flas b36931,taxithelium,taxithelium planum,8,8,1978,220
bm000919312,taxithelium,taxithelium planum,9,12,1874,343
bm001147963,taxithelium,taxithelium planum,3,5,2006,123
bm001153101,taxithelium,taxithelium planum,5,4,2011,95
bm001152976,taxithelium,taxithelium planum,12,5,2010,132
bm001147974,taxithelium,taxithelium planum,2,12,2000,337
bm001153026,taxithelium,taxithelium planum,12,8,2010,224
bm001147965,taxithelium,taxithelium planum,2,5,2006,122
700177,taxithelium,taxithelium planum,5,2,1913,36
bm001152977,taxithelium,taxithelium planum,12,5,2010,132
700181,taxithelium,taxithelium planum,10,2,1913,41
699968,taxithelium,taxithelium planum,12,3,1908,72
699973,taxithelium,taxithelium planum,6,3,1909,65
699976,taxithelium,taxithelium planum,1,9,1907,244
700159,taxithelium,taxithelium planum,8,9,1901,251
700160,taxithelium,taxithelium planum,8,9,1901,251
700201,taxithelium,taxithelium planum,6,10,1980,280
707164,taxithelium,taxithelium planum,8,3,1938,67
bm001153246,taxithelium,taxithelium planum,12,6,2010,163
bm001153251,taxithelium,taxithelium planum,12,5,2010,132
bm001153259,taxithelium,taxithelium planum,10,2,2012,41
bm001153198,taxithelium,taxithelium planum,5,5,2011,125
bm001152974,taxithelium,taxithelium planum,12,5,2010,132
bm001153249,taxithelium,taxithelium planum,12,5,2010,132
700004,taxithelium,taxithelium planum,2,3,1913,61
544017,taxithelium,taxithelium planum,6,12,1992,341
699925,taxithelium,taxithelium planum,3,9,1981,246
706251,taxithelium,taxithelium planum,10,11,1968,315
706269,taxithelium,taxithelium planum,7,11,1968,312
1238733,taxithelium,taxithelium planum,12,3,1990,71
1238808,taxithelium,taxithelium planum,1,11,1937,305
flas b36895,taxithelium,taxithelium planum,6,8,1978,218
544088,taxithelium,taxithelium planum,9,11,1903,313
699978,taxithelium,taxithelium planum,4,11,1968,309
700188,taxithelium,taxithelium planum,9,6,1984,161
707162,taxithelium,taxithelium planum,10,3,1957,69
706204,taxithelium,taxithelium planum,12,11,1947,316
706237,taxithelium,taxithelium planum,10,3,1975,69
700183,taxithelium,taxithelium planum,9,8,1841,221
1086781,taxithelium,taxithelium planum,10,5,1893,130
700018,taxithelium,taxithelium planum,7,2,1915,38
700057,taxithelium,taxithelium planum,3,2,1899,34
699942,taxithelium,taxithelium planum,2,4,1913,92
2342196,taxithelium,taxithelium planum,6,6,1898,157
2248737,taxithelium,taxithelium planum,9,3,1940,69
699859,taxithelium,taxithelium planum,10,3,1903,69
101148145,taxithelium,taxithelium planum,7,9,2019,250
101207557,taxithelium,taxithelium planum,6,7,1984,188
101175039,taxithelium,taxithelium planum,1,5,1984,122
699873,taxithelium,taxithelium planum,12,11,1927,316
706226,taxithelium,taxithelium planum,3,8,1903,215
1238799,taxithelium,taxithelium planum,1,12,1977,335
2446546,taxithelium,taxithelium planum,3,12,2014,337
699843,taxithelium,taxithelium planum,11,8,1915,223
699966,taxithelium,taxithelium planum,9,3,1908,69
544042,taxithelium,taxithelium planum,9,7,1967,190
699889,taxithelium,taxithelium planum,5,11,1947,309
699927,taxithelium,taxithelium planum,3,9,1981,246
700202,taxithelium,taxithelium planum,6,10,1981,279
706175,taxithelium,taxithelium planum,12,11,1947,316
707179,taxithelium,taxithelium planum,4,3,1915,63
700029,taxithelium,taxithelium planum,4,3,1914,63
706163,taxithelium,taxithelium planum,2,1,1948,2
1238819,taxithelium,taxithelium planum,8,1,1938,8
1238820,taxithelium,taxithelium planum,10,1,1938,10
700006,taxithelium,taxithelium planum,11,4,1913,101
699956,taxithelium,taxithelium planum,8,1,1926,8
699979,taxithelium,taxithelium planum,4,11,1968,309
706233,taxithelium,taxithelium planum,4,11,1968,309
1238825,taxithelium,taxithelium planum,10,1,1914,10
699796,taxithelium,taxithelium planum,10,3,1911,69
699960,taxithelium,taxithelium planum,12,8,1903,224
706259,taxithelium,taxithelium planum,5,1,1941,5
1238903,taxithelium,taxithelium planum,3,7,1979,184
576725,taxithelium,taxithelium planum,1,9,1994,244
101205981,taxithelium,taxithelium planum,6,10,1983,279
101207560,taxithelium,taxithelium planum,6,7,1984,188
101205979,taxithelium,taxithelium planum,6,10,1983,279
699974,taxithelium,taxithelium planum,6,3,1909,65
707195,taxithelium,taxithelium planum,12,1,1916,12
699998,taxithelium,taxithelium planum,1,6,1960,153
700142,taxithelium,taxithelium planum,10,8,1907,222
707161,taxithelium,taxithelium planum,10,3,1957,69
706209,taxithelium,taxithelium planum,2,6,1904,154
544037,taxithelium,taxithelium planum,10,8,1878,222
576721,taxithelium,taxithelium planum,11,7,1990,192
699969,taxithelium,taxithelium planum,1,3,1908,61
700005,taxithelium,taxithelium planum,2,3,1913,61
544089,taxithelium,taxithelium planum,7,3,1957,66
700134,taxithelium,taxithelium planum,10,8,1898,222
706165,taxithelium,taxithelium planum,12,11,1947,316
707190,taxithelium,taxithelium planum,11,3,1915,70
700140,taxithelium,taxithelium planum,5,1,1941,5
877593,taxithelium,taxithelium planum,12,8,2006,224
1238766,taxithelium,taxithelium planum,10,8,1914,222
699778,taxithelium,taxithelium planum,1,2,1905,32
1238848,taxithelium,taxithelium planum,5,2,1983,36
699869,taxithelium,taxithelium planum,12,11,1947,316
706205,taxithelium,taxithelium planum,12,11,1947,316
706265,taxithelium,taxithelium planum,3,5,1941,123
